TxHash,BlockHeight,voter,option,proposal_id
F1DA739DE7867AD1B94D8F6683ECD6C89ACAB83EC5EE2405DA3D2BD0CC023B53,7607251,terra1lmg3ea6syazpch4fzs4lu903uyzy8k9sw5tz04,VOTE_OPTION_NO,1192
DA7C09E145CCFE1A74245C39867A094467D8F1EB7099387AF327EA4A73586288,7607242,terra1rq7jvnrp62g0tlfqdwtrq80g5f2kfejxpeykck,VOTE_OPTION_NO,1211
22AA01C6ECC4D7AEDC05A8B41F1F67FC01E990A3FDE26C271590BB151BFCB0C0,7607231,terra1lmczej6n7kpkkh8tr8cnlct75vrd3khpm8krt3,VOTE_OPTION_YES,1188
5C338EE9E22E6893A4E785855264B12819BF9569DDEFE135501490CC49FDECAE,7607239,terra1rq7jvnrp62g0tlfqdwtrq80g5f2kfejxpeykck,VOTE_OPTION_YES,1188
7D80B804525965ABB54FE4C823919D6A5BD9AF25ABF196E044FADAB875012648,7607219,terra1rq7jvnrp62g0tlfqdwtrq80g5f2kfejxpeykck,VOTE_OPTION_ABSTAIN,1211
26119B77E12A67FAA5A732828A5E4CCC88A9447798AD8F898CF136255D0A21CB,7607212,terra1p6g00aj4fgh4f8us9qdnrdgus9wr9nhq3r3wzm,VOTE_OPTION_YES,1205
EC4CDBFBFFB0D29BF76C6A3DBDB84256A83358AAD8523CB8AB161395610EE381,7607206,terra1w0xucz8s9v9w4us9w8um0ut6flpkmltm596s6f,VOTE_OPTION_YES,1210
59BD9E966CBA24C5E739F12446399D7FF684BF830646CC3DA9C4E88B4E0F909F,7607205,terra1rq7jvnrp62g0tlfqdwtrq80g5f2kfejxpeykck,VOTE_OPTION_NO,1210
7DA1D2302C91D583A5C3DED839BD6E65A0313ACECD7A9C08D24047D258A0B26C,7607196,terra1rq7jvnrp62g0tlfqdwtrq80g5f2kfejxpeykck,VOTE_OPTION_ABSTAIN,1205
11558A0BABA22074D3B21C785510D8E0DE8050549A34CEA7FD0DCCDB6E5F83D6,7607192,terra1s3wxxlwhtj6wea84ne4nzpd5u80ucdnd5cnrnf,VOTE_OPTION_YES,1205
82927F131FD7823590DBD9159B006026BD25DDBD326FD3B3773B2C9F5629AAFE,7607192,terra1rq7jvnrp62g0tlfqdwtrq80g5f2kfejxpeykck,VOTE_OPTION_ABSTAIN,1197
B1546FA5ADA3F59765174137F85EF474106E5393BFD6E678F06416E04BA3728B,7607185,terra1dkqt8a0aq4vguapk9qxaaeqqe48sd3vljqc7kh,VOTE_OPTION_YES,1210
C5E5801985A159C472E3699439F6C99AE9EA485BA5DDE108CC665AA25C6A5484,7607184,terra1rq7jvnrp62g0tlfqdwtrq80g5f2kfejxpeykck,VOTE_OPTION_YES,1194
5CAC188B61C6B8642DC65436A2A622A4D7C823BB75CA37765740C590F0D55718,7607178,terra1cfmtl04ej08lhkmqnhln5camg848s5uyr52m40,VOTE_OPTION_YES,1194
B8F2F2F00067BC9A6B4C7079AB79B78F53C4CC2E0DF8CF9E91A32CD805565235,7607180,terra1p6g00aj4fgh4f8us9qdnrdgus9wr9nhq3r3wzm,VOTE_OPTION_YES,1188
E918F66579F629094E9B8DA84226848C2BE254BE9BC5A44E0CF93E20751796B4,7607184,terra1s3wxxlwhtj6wea84ne4nzpd5u80ucdnd5cnrnf,VOTE_OPTION_YES,1196
B56E3CB69B665ED43B1BAB6AD29AA4211E3C8C3793E43D8BEACDB2430D6B7E7B,7607175,terra1w0xucz8s9v9w4us9w8um0ut6flpkmltm596s6f,VOTE_OPTION_NO,1211
ACE1D3B7CD05A75BF6F24B1997FE97DE6B1C1EB6FB16D87F86B83261285061BA,7607175,terra1rq7jvnrp62g0tlfqdwtrq80g5f2kfejxpeykck,VOTE_OPTION_ABSTAIN,1191
DE10D4448F9D7ADA06100359F34990213FA3A145B403585075DCFE69CD522F95,7607172,terra1p6g00aj4fgh4f8us9qdnrdgus9wr9nhq3r3wzm,VOTE_OPTION_NO,1192
3EF99D92BC22B394D994208F3830C50795A0710184B8AC286D819E3951F4A6FE,7607160,terra14rdaswcgkcueky9rkrafwycg98dt3yg96dk0jq,VOTE_OPTION_YES,1205
B28F16D09A087D9C9198A5FBF0FE12DAD9636C93506E7795998897942F337502,7607164,terra1rq7jvnrp62g0tlfqdwtrq80g5f2kfejxpeykck,VOTE_OPTION_NO_WITH_VETO,1169
416FD281AB8C912F696F120C485092D502D6A42053C3A3EBB68332141248914C,7607160,terra1rq7jvnrp62g0tlfqdwtrq80g5f2kfejxpeykck,VOTE_OPTION_ABSTAIN,1164
B04210D0A8FF837D260B36D2CB182BAFE9A78C3023D69FF832370917813163BE,7607154,terra1chvgr037m3wnv80tkxg6atlr04rmdcrgws8zk2,VOTE_OPTION_YES,1203
D6998CF052806D6643D78EA39168157770BFD435CCF61EA9B95EA5F7F8A18840,7607147,terra1cfmtl04ej08lhkmqnhln5camg848s5uyr52m40,VOTE_OPTION_ABSTAIN,1205
1DBAD210CD2B32B1A3E4297AAF4E1B80DA0B79C5C9630F0AE782F330E55CB10C,7607143,terra1rq7jvnrp62g0tlfqdwtrq80g5f2kfejxpeykck,VOTE_OPTION_ABSTAIN,1158
BDCFAAFEC88991AA0E8EC6421056B545789CEDBD6BEE9A865C4332772C16AFC4,7607140,terra1vv4y54wczzk99ga65uvy7555n5q68gswc5p3ze,VOTE_OPTION_ABSTAIN,1205
AB593DFCE6BF7F376223BE6A7C42B4F68034A424BAA6EC1194A1EBFA2252A3DE,7607132,terra1rq7jvnrp62g0tlfqdwtrq80g5f2kfejxpeykck,VOTE_OPTION_ABSTAIN,1157
CB4DE8E7AE476DE416AAC04B153280C54680EED26FAD7D5E311B6BAF303E571B,7607133,terra1cfmtl04ej08lhkmqnhln5camg848s5uyr52m40,VOTE_OPTION_NO,1210
5E17F6D5907807E842B52B854FAD8BC038FEE4E48C878F522F1A5CF1A6D23F3F,7607132,terra1vv4y54wczzk99ga65uvy7555n5q68gswc5p3ze,VOTE_OPTION_YES,1203
2D1EBB5C9511CC1BE2AA3EDDDD555B714A56AF769A5300E61B7032DE480EE72E,7607124,terra1vv4y54wczzk99ga65uvy7555n5q68gswc5p3ze,VOTE_OPTION_ABSTAIN,1200
13D7CC3A23B3485F0F0EA1AF1769C164C3B8AB7951305F15F18393BE8C089D4D,7607132,terra1njyyp3dv2z30q7hduk2gp7hkm97x74x2dsfqqy,VOTE_OPTION_YES,1188
